fish,strain,intercept,mean,sd,sem,Date_of_imaging,Microscope,unsegmented_psm_area,reporter_pheno
KC1,Kaga/Cab_F2,56.67,57.9,0.97,0.18,11_11_20,AU,26846,-1
KC2,Kaga/Cab_F2,60.26,58.14,2.65,0.49,11_11_20,AU,29842,0
KC3,Kaga/Cab_F2,58.6,60.91,1.4,0.26,19_11_20,AU,27968,-1
KC4,Kaga/Cab_F2,55.14,57.79,1.79,0.33,19_11_20,AU,23456,0
KC5,Kaga/Cab_F2,56.67,60.52,2.24,0.42,19_11_20,AU,27914,0
KC6,Kaga/Cab_F2,60.7,62.91,1.39,0.26,19_11_20,AU,22744,-1
KC7,Kaga/Cab_F2,60.52,62.39,1.23,0.23,19_11_20,AU,24776,-1
KC8,Kaga/Cab_F2,55.08,57.89,1.6,0.3,19_11_20,AU,24638,0
KC9,Kaga/Cab_F2,56.7,58.39,0.99,0.18,19_11_20,AU,26466,-1
KC10,Kaga/Cab_F2,58.3,62.27,2.3,0.43,19_11_20,AU,24140,-1
KC11,Kaga/Cab_F2,62.74,62.71,0.73,0.14,19_11_20,AU,27456,-1
KC31,Kaga/Cab_F2,47.12,54.49,4.33,0.8,28_11_20,AU,24515,-1
KC32,Kaga/Cab_F2,53.33,58.59,3.03,0.56,28_11_20,AU,24845,0
KC33,Kaga/Cab_F2,59.34,60.41,1.32,0.24,28_11_20,AU,23820,0
KC34,Kaga/Cab_F2,57.34,60.15,1.67,0.31,28_11_20,AU,21053,0
KC35,Kaga/Cab_F2,57.65,60.82,1.82,0.34,28_11_20,AU,23518,0
KC36,Kaga/Cab_F2,61.7,61.01,0.87,0.16,28_11_20,AU,20211,-1
KC37,Kaga/Cab_F2,60.6,66,3.08,0.57,28_11_20,AU,24310,0
KC38,Kaga/Cab_F2,57.088,62.72,3.21,0.6,28_11_20,AU,19403,-1
KC39,Kaga/Cab_F2,58.2,68.61,5.92,1.16,28_11_20,AU,25115,0
KC40,Kaga/Cab_F2,53.07,57.46,2.5,0.46,28_11_20,AU,20994,0
KC41,Kaga/Cab_F2,53.16,53.8,1.4,0.26,29_11_20,AU,26093,0
KC42,Kaga/Cab_F2,50.92,55.8,2.87,0.53,29_11_20,AU,25009,0
KC43,Kaga/Cab_F2,52.98,55.53,2.03,0.4,29_11_20,AU,26813,-1
KC44,Kaga/Cab_F2,54.1,55.58,0.87,0.16,29_11_20,AU,25425,0
KC45,Kaga/Cab_F2,59.42,68.79,7.32,1.36,29_11_20,AU,27774,-1
KC46,Kaga/Cab_F2,54.46,56.25,1.07,0.2,29_11_20,AU,24408,-1
KC47,Kaga/Cab_F2,53.48,54.46,0.67,0.12,29_11_20,AU,27211,0
KC48,Kaga/Cab_F2,54.84,56.59,1.01,0.19,29_11_20,AU,27395,-1
KC49,Kaga/Cab_F2,56.79,57.64,0.61,0.11,29_11_20,AU,28132,-1
KC50,Kaga/Cab_F2,53.09,55.18,1.22,0.23,29_11_20,AU,26204,0
KC51,Kaga/Cab_F2,55.36,55.78,0.39,0.07,1_12_20,AU,28370,0
KC52,Kaga/Cab_F2,58.59,60.33,1.03,0.19,1_12_20,AU,25836,-1
KC53,Kaga/Cab_F2,56.09,56.39,0.41,0.08,1_12_20,AU,24347,0
KC54,Kaga/Cab_F2,54.56,56.4,1.13,0.21,1_12_20,AU,24132,0
KC55,Kaga/Cab_F2,54.88,55.68,0.79,0.15,1_12_20,AU,25723,-1
KC62,Kaga/Cab_F2,55.51,56.47,0.8,0.15,3_12_20,AU,25289,0
KC63,Kaga/Cab_F2,55.68,57.73,1.22,0.23,3_12_20,AU,28316,-1
KC64,Kaga/Cab_F2,58.22,61.26,1.74,0.32,3_12_20,AU,23991,-1
KC65,Kaga/Cab_F2,64.41,66.31,1.09,0.2,3_12_20,AU,23878,-1
KC66,Kaga/Cab_F2,66.84,68.86,1.35,0.25,3_12_20,AU,25453,0
KC67,Kaga/Cab_F2,62.27,64.33,1.2,0.22,3_12_20,AU,23797,0
KC68,Kaga/Cab_F2,65.68,66.99,0.88,0.16,3_12_20,AU,23322,0
KC69,Kaga/Cab_F2,58.58,60.94,1.38,0.26,3_12_20,AU,21899,0
KC70,Kaga/Cab_F2,62.41,63.9,0.91,0.17,3_12_20,AU,24933,-1
KC71,Kaga/Cab_F2,59.82,62.43,1.58,0.29,3_12_20,AU,21264,0
KC72,Kaga/Cab_F2,61.57,62.86,0.74,0.14,8_12_20,AU,20247,-1
KC73,Kaga/Cab_F2,60.45,63,1.47,0.27,8_12_20,AU,26441,0
KC74,Kaga/Cab_F2,55.63,58.81,1.97,0.37,8_12_20,AU,22173,-1
