SAMPLE	intercept	mean
1	56.67	57.9
2	60.26	58.14
4	55.14	57.79
6	60.7	62.91
8	55.08	57.89
9	56.7	58.39
10	58.3	62.27
11	62.74	62.71
12	65.58	65.68
13	61.65	65.05
14	56.85	58.61
15	61.99	64.95
16	60.5	62.26
17	60.45	61.01
18	63.79	66.62
20	60.11	62.1
21	59.7	60.46
22	63.01	64.59
23	NA	NA
24	62.01	65.22
25	59.9	65.06
26	58.58	62.04
27	60.67	65.32
29	61.89	63.75
30	63.82	68.17
31	47.12	54.49
32	53.33	58.59
33	59.34	60.41
34	57.34	60.15
35	57.65	60.82
36	61.7	61.01
37	60.6	66
38	57.088	62.72
40	53.07	57.46
41	53.16	53.8
42	50.92	55.8
43	52.98	55.53
44	54.1	55.58
45	59.42	68.79
46	54.46	56.25
47	53.48	54.46
48	54.84	56.59
49	56.79	57.64
50	53.09	55.18
51	55.36	55.78
53	56.09	56.39
54	54.56	56.4
55	54.88	55.68
57	66.88	69.51
58	67.5	66.67
59	69.85	68.5
60	69.73	70.42
61	65.33	69.53
62	55.51	56.47
63	55.68	57.73
64	58.22	61.26
65	64.41	66.31
66	66.84	68.86
67	62.27	64.33
68	65.68	66.99
69	58.58	60.94
70	62.41	63.9
71	59.82	62.43
72	61.57	62.86
73	60.45	63
74	55.63	58.81
75	54.21	60.7
76	56.35	59.12
77	58.63	56.42
78	57.15	63.44
79	55.9	59.45
80	57.32	57.21
81	56.9	58.49
82	57.96	57.9
83	61.08	65.67
84	58.79	63.23
85	63.46	63.71
86	58.17	62.27
87	55.91	58.05
88	59.33	62.36
89	58.61	61.93
90	59.18	60.16
91	55.74	58.22
92	58.92	61.87
93	54.3	56.95
94	61.84	63.86
95	65.02	68.03
96	57.08	59.65
97	59.76	62.49
98	60.66	62.65
99	63.75	65.18
100	60.63	61.24
101	61.3846	67.56
102	58.3968735632184	60.88
103	63.4929655172414	66.7
104	60.6685517241379	62.06
105	56.0480229885057	59.13
106	59.2104187192118	61.93
107	53.2991954022989	55.67
108	58.9667126436782	62.52
109	57.2916551724138	58.84
110	57.2445057471264	57.81
111	57.0791264367816	58.75
112	60.4400689655172	62.83
113	64.4550574712643	62.88
114	55.8391264367816	59.21
115	55.5985517241379	57.2
116	59.8239770114942	63.56
117	63.584367816092	64.53
118	62.1612183908046	64.45
119	60.4271954022988	62.44
120	65.0496781609195	65.68
122	62.6733793103448	65.09
123	61.8470574712643	60.51
124	59.1521149425287	59.04
125	56.1354712643678	58.16
126	62.0667586206896	65.1
127	57.3069655172414	56.52
128	63.2543448275862	66.55
129	60.5891264367816	62.11
130	61.7480229885057	63.6
131	57.2471954022988	62.41
132	57.1705517241379	60.95
133	56.2150574712643	57.67
135	58.7486436781609	61.13
136	61.8254482758621	64.56
137	60.0731034482759	60.4
138	58.8858390804598	61.76
139	62.7057931034483	63.88
140	49.0362528735632	56.19
141	55.8074022988505	59.05
142	69.7975396825397	66.74
143	61.5679540229885	63.72
144	58.5809655172414	60.84
145	64.3821379310345	66.83
146	63.8455172413794	63.71
147	61.7927586206896	61.95
148	61.1681379310345	63.32
149	59.9453333333333	63.41
150	62.0708505747126	64.16
151	63.1577471264368	69.41
152	59.0801379310345	59.46
153	54.5135862068965	61.58
154	56.0596781609196	56.85
156	56.6788735632184	58.22
157	56.933448275862	60.29
159	55.8279770114942	57.66
161	57.9624137931034	58.01
162	62.199908045977	63.78
163	58.3173333333333	62.08
164	62.2010804597701	62.76
165	58.7161149425287	58.95
166	58.6354942528736	62.47
167	58.6592413793104	61.82
168	59.9721149425288	62.05
169	63.889724137931	67.55
170	62.3600919540229	64
171	64.7596551724138	66
172	56.5147126436782	62.47
174	61.8426896551724	68.57
175	58.7697701149425	61.12
176	57.6036781609195	57.92
178	65.6781379310345	68.25
179	63.2786436781609	68.28
180	63.0932183908046	66.03
181	66.6880459770115	67.64
182	65.3442528735632	70.91
183	66.9425287356322	63.45
184	64.2042528735632	68.51
185	60.3704137931034	64.83
186	59.7774942528736	63.02
187	62.3368735632184	65.65
188	57.7886896551725	59.79
189	61.6504827586207	64.82
190	56.5349655172414	60.66
191	60.4360000000001	62.19
192	58.3154022988505	69.81
193	59.9597011494253	63.07
194	66.0809655172414	68.32
195	62.0865057471264	66.31
196	65.5948275862069	70
197	60.6494022988505	63.63
198	64.5021839080459	75.15
199	60.5474022988506	62.24
200	51.9585057471264	54.44
201	63.208183908046	66.12
202	58.996551724138	57.35
203	54.4482068965517	58.57
204	58.0033333333333	59.75
205	58.018091954023	59.17
206	56.001632183908	59.65
207	59.0001609195402	61.24
208	57.7209425287356	59.7
209	57.9489425287356	62.15
210	58.2349195402299	60.18
212	57.8816781609196	61.08
213	56.3390804597701	62.72
214	56.5718620689655	59.33
215	69.2805287356322	67.18
216	58.6171264367816	60.92
218	62.9197011494253	65.83
219	56.9705747126437	61.02
220	62.8030114942529	65
221	56.4252873563219	61.3
222	60.595908045977	62.49
223	63.5737241379311	65.15
224	62.7115632183908	65.59
225	59.1454482758621	61.58
226	61.9610114942528	62.23
227	54.9131954022988	59.83
228	51.1563678160919	57.98
229	55.9193333333333	57.14
230	59.1960459770115	64.01
231	57.5505287356322	59.73
232	66.1975172413793	69.08
233	61.3907356321839	63.54
234	64.6055172413793	64.71
235	67.1928735632184	70.07
236	67.3328965517242	68.24
