SITE_FILTER,TARGET_PHENO,BIN_LENGTH,MIN_P
all_sites,intercept,10000,1.1737448132925026e-5
all_sites,intercept,15000,3.749023080274081e-5
all_sites,intercept,20000,1.822450896137261e-5
all_sites,intercept,5000,1.1546924888833717e-6
all_sites,mean,10000,1.4705673750479006e-6
all_sites,mean,15000,3.82700522395871e-6
all_sites,mean,20000,8.139165781772026e-7
all_sites,mean,5000,6.426532196353177e-6
no_repeat_reads,intercept,10000,2.3116562788085216e-6
no_repeat_reads,intercept,15000,1.333359458010386e-5
no_repeat_reads,intercept,20000,1.0083473926809955e-5
no_repeat_reads,intercept,5000,1.260253912995764e-6
no_repeat_reads,mean,10000,1.0054899437524903e-5
no_repeat_reads,mean,15000,1.4567989468831496e-5
no_repeat_reads,mean,20000,3.3092636198068295e-5
no_repeat_reads,mean,5000,9.900637205062243e-7
no_repeat_reads_or_pers_hets,intercept,10000,1.9174087814990227e-6
no_repeat_reads_or_pers_hets,intercept,15000,1.4813221516209229e-5
no_repeat_reads_or_pers_hets,intercept,20000,1.1047651387849353e-5
no_repeat_reads_or_pers_hets,intercept,5000,1.56178528709342e-6
no_repeat_reads_or_pers_hets,mean,10000,1.8027949880024638e-5
no_repeat_reads_or_pers_hets,mean,15000,1.4381883003714067e-5
no_repeat_reads_or_pers_hets,mean,20000,3.1640608401707996e-5
no_repeat_reads_or_pers_hets,mean,5000,1.490653616476511e-6
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,intercept,10000,1.4071993554958856e-6
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,intercept,15000,1.0881256994196773e-5
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,intercept,20000,3.874160964310675e-6
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,intercept,5000,7.1609187091182495e-6
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,mean,10000,1.6789073761092186e-5
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,mean,15000,4.362252718443533e-6
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,mean,20000,1.4848604101445807e-5
no_repeat_reads_or_pers_hets_filtered_for_read_count_and_cab_prop,mean,5000,1.0174837444692859e-5
no_repeat_sites,intercept,10000,1.1859358270941029e-5
no_repeat_sites,intercept,15000,1.610487111465386e-5
no_repeat_sites,intercept,20000,2.1264891233890556e-5
no_repeat_sites,intercept,5000,6.131795650289518e-6
no_repeat_sites,mean,10000,5.646207681484012e-6
no_repeat_sites,mean,15000,2.8043330362431183e-5
no_repeat_sites,mean,20000,8.930056560209535e-6
no_repeat_sites,mean,5000,2.231567772081715e-6
