fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno,reporter_pheno
KC1,1,Kaga/Cab_F2,26846,-1.3294490314211467,0.26,2203,6.67e-45,579,0.97,0.18,5809,1.73,11_11_20,AU,-1,-1
KC2,2,Kaga/Cab_F2,29842,-1.0142181820634457,0.86,709,3.84e-31,5814,2.65,0.49,5779,3.32,11_11_20,AU,0,0
KC3,3,Kaga/Cab_F2,27968,-2.0395300633538507,0.18,32032,1.89e-49,6091,1.4,0.26,602,2.04,19_11_20,AU,NA,-1
KC4,4,Kaga/Cab_F2,23456,-1.4964334034302786,0.37,1482,4.38e-40,5779,1.79,0.33,5839,1.96,19_11_20,AU,-1,0
KC5,5,Kaga/Cab_F2,27914,-1.3294490314211467,0.13,44406,2.02e-53,6052,2.24,0.42,602,4.07,19_11_20,AU,NA,0
KC6,6,Kaga/Cab_F2,22744,-1.9452371508982464,0.23,26997,2.27e-47,6291,1.39,0.26,6352,1.66,19_11_20,AU,-1,-1
KC7,7,Kaga/Cab_F2,24776,-0.9927579162572794,0.23,2566,9.4e-48,6239,1.23,0.23,6246,1.51,19_11_20,AU,NA,-1
KC8,8,Kaga/Cab_F2,24638,-1.5166063307193332,0.06,90299,4.73e-62,5789,1.6,0.3,5794,2.94,19_11_20,AU,-1,0
KC9,9,Kaga/Cab_F2,26466,-2.3134378704465903,0.14,39997,3.78e-52,5839,0.99,0.18,5809,1.05,19_11_20,AU,-1,-1
KC10,10,Kaga/Cab_F2,24140,-2.0944208199953787,0.18,31297,3.86e-49,6227,2.3,0.43,6186,4.37,19_11_20,AU,-1,-1
KC11,11,Kaga/Cab_F2,27456,-0.9111333866630041,0.28,22474,3.8e-46,6271,0.73,0.14,6291,1.13,19_11_20,AU,-1,-1
KC12,12,Kaga/Cab_F2,23533,-1.3840712678233589,0.16,39485,5.41e-52,6568,0.44,0.08,6563,0.6,25_11_20,DB,0,0
KC13,13,Kaga/Cab_F2,23908,-1.630621086310506,0.3,17496,4.23e-42,6505,2.14,0.4,6382,2.56,25_11_20,DB,-1,-1
KC14,14,Kaga/Cab_F2,28753,-1.9153683496510627,0.4,1391,2.51e-39,5861,3.21,0.54,5779,1.58,25_11_20,DB,0,0
KC15,15,Kaga/Cab_F2,25419,-1.5597799921032534,0.11,54699,5.89e-56,6495,1.71,0.36,6472,2.56,25_11_20,DB,-1,-1
KC16,16,Kaga/Cab_F2,22401,-2.148385190047661,158,381,1.47e-51,6226,1.06,0.2,6186,1.73,25_11_20,DB,0,0
KC17,17,Kaga/Cab_F2,25777,-1.7107422049210401,0.32,18349,1.11e-42,6101,0.92,0.17,6065,1.51,25_11_20,DB,-1,0
KC18,18,Kaga/Cab_F2,26275,-1.466271790443429,0.07,80064,1.37e-60,6662,1.62,0.3,6683,2.56,25_11_20,DB,-1,-1
KC19,19,Kaga/Cab_F2,25319,-2.655427657292601,0.18,30929,5.04e-49,6009,1.11,0.21,596,1.5,25_11_20,DB,NA,-1
KC20,20,Kaga/Cab_F2,25415,-1.75530050130824,0.24,249,1.97e-46,621,1.29,0.24,6141,2.03,25_11_20,DB,0,0
