fish,SAMPLE,strain,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,reporter_geno
KC1,1,Kaga/Cab_F2,26846,56.67,0.26,220.3,6.67e-47,57.9,0.97,0.18,58.09,1.73,11_11_20,AU,-1
KC2,2,Kaga/Cab_F2,29842,60.26,0.86,70.9,3.84e-33,58.14,2.65,0.49,57.79,3.32,11_11_20,AU,0
KC3,3,Kaga/Cab_F2,27968,58.6,0.18,320.32,1.89e-51,60.91,1.4,0.26,60.2,2.04,19_11_20,AU,NA
KC4,4,Kaga/Cab_F2,23456,55.14,0.37,148.2,4.38e-42,57.79,1.79,0.33,58.39,1.96,19_11_20,AU,-1
KC5,5,Kaga/Cab_F2,27914,56.67,0.13,444.06,2.02e-55,60.52,2.24,0.42,60.2,4.07,19_11_20,AU,NA
KC6,6,Kaga/Cab_F2,22744,60.7,0.23,269.97,2.27e-49,62.91,1.39,0.26,63.52,1.66,19_11_20,AU,-1
KC7,7,Kaga/Cab_F2,24776,60.52,0.23,256.6,9.4e-49,62.39,1.23,0.23,62.46,1.51,19_11_20,AU,NA
KC8,8,Kaga/Cab_F2,24638,55.08,0.06,902.99,4.73e-64,57.89,1.6,0.3,57.94,2.94,19_11_20,AU,-1
KC9,9,Kaga/Cab_F2,26466,56.7,0.14,399.97,3.78e-54,58.39,0.99,0.18,58.09,1.05,19_11_20,AU,-1
KC10,10,Kaga/Cab_F2,24140,58.3,0.18,312.97,3.86e-51,62.27,2.3,0.43,61.86,4.37,19_11_20,AU,-1
KC11,11,Kaga/Cab_F2,27456,62.74,0.28,224.74,3.8e-47,62.71,0.73,0.14,62.91,1.13,19_11_20,AU,-1
KC12,12,Kaga/Cab_F2,23533,65.58,0.16,394.85,5.41e-54,65.68,0.44,0.08,65.63,0.6,25_11_20,DB,0
KC13,13,Kaga/Cab_F2,23908,61.65,0.3,174.96,4.23e-44,65.05,2.14,0.4,63.82,2.56,25_11_20,DB,-1
KC14,14,Kaga/Cab_F2,28753,56.85,0.4,139.1,2.51e-41,58.61,3.21,0.54,57.79,1.58,25_11_20,DB,0
KC15,15,Kaga/Cab_F2,25419,61.99,0.11,546.99,5.89e-58,64.95,1.71,0.36,64.72,2.56,25_11_20,DB,-1
KC16,16,Kaga/Cab_F2,22401,60.5,0.158,381,1.47e-53,62.26,1.06,0.2,61.86,1.73,25_11_20,DB,0
KC17,17,Kaga/Cab_F2,25777,60.45,0.32,183.49,1.11e-44,61.01,0.92,0.17,60.65,1.51,25_11_20,DB,-1
KC18,18,Kaga/Cab_F2,26275,63.79,0.07,800.64,1.37e-62,66.62,1.62,0.3,66.83,2.56,25_11_20,DB,-1
KC19,19,Kaga/Cab_F2,25319,58.3,0.18,309.29,5.04e-51,60.09,1.11,0.21,59.6,1.5,25_11_20,DB,NA
KC20,20,Kaga/Cab_F2,25415,60.11,0.24,249,1.97e-48,62.1,1.29,0.24,61.41,2.03,25_11_20,DB,0
KC21,21,Kaga/Cab_F2,24936,59.7,0.2,294.46,1.99e-50,60.46,0.66,0.12,60.5,1.21,27_11_20,DB,0
KC22,22,Kaga/Cab_F2,20481,63.01,0.59,105.59,4.11e-30,64.59,1.62,0.35,64.12,1.66,27_11_20,DB,-1
KC23,23,Kaga/Cab_F2,21788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC24,24,Kaga/Cab_F2,24287,62.01,0.11,533.1,1.2e-57,65.22,1.84,0.34,64.88,3.16,27_11_20,DB,-1
KC25,25,Kaga/Cab_F2,27251,59.9,0.592,101.1,1.89e-37,65.06,3.32,0.62,63.06,4.68,27_11_20,DB,0
KC26,26,Kaga/Cab_F2,24241,58.58,0.29,198.12,1.27e-45,62.04,2.12,0.39,60.95,3.55,27_11_20,DB,NA
KC27,27,Kaga/Cab_F2,22876,60.67,0.07,843.2,3.21e-63,65.32,2.64,0.49,65.18,4.6,27_11_20,DB,0
KC28,28,Kaga/Cab_F2,23902,59.78,0.091,659.92,3.07e-60,62.39,1.5,0.28,62.16,2.64,27_11_20,DB,NA
KC29,29,Kaga/Cab_F2,21155,61.89,0.18,343.16,2.75e-52,63.75,1.16,0.21,63.67,2.34,27_11_20,DB,-1
KC30,30,Kaga/Cab_F2,21114,63.82,0.125,509.14,4.39e-57,68.17,2.49,0.46,67.89,3.77,27_11_20,DB,-1
KC31,31,Kaga/Cab_F2,24515,47.12,0.422,111.67,1.2e-38,54.49,4.33,0.8,53.57,8.9,28_11_20,AU,-1
KC32,32,Kaga/Cab_F2,24845,53.33,0.194,274.35,1.45e-49,58.59,3.03,0.56,58.39,6.18,28_11_20,AU,0
KC33,33,Kaga/Cab_F2,23820,59.34,0.44,133.17,8.75e-41,60.41,1.32,0.24,60.2,2.03,28_11_20,AU,0
KC34,34,Kaga/Cab_F2,21053,57.34,0.19,298.71,1.33e-50,60.15,1.67,0.31,60.2,3.17,28_11_20,AU,0
KC35,35,Kaga/Cab_F2,23518,57.65,0.102,562.9,2.64e-58,60.82,1.82,0.34,60.65,2.64,28_11_20,AU,-1
KC36,36,Kaga/Cab_F2,20211,61.7,0.294,209.46,2.69e-46,61.01,0.87,0.16,60.8,0.61,28_11_20,AU,-1
