chromosome_name,start_position,end_position,ensembl_gene_id,hgnc_symbol,ensembl_exon_id,description,strand,transcript_start,transcript_end
3,20366480,20376367,ENSORLG00000007541,,ENSORLE00000261989,bolA family member 3 [Source:NCBI gene;Acc:101157115],-1,20366480,20372924
3,20366480,20376367,ENSORLG00000007541,,ENSORLE00000266394,bolA family member 3 [Source:NCBI gene;Acc:101157115],-1,20366480,20372924
3,20366480,20376367,ENSORLG00000007541,,ENSORLE00000084836,bolA family member 3 [Source:NCBI gene;Acc:101157115],-1,20366480,20372924
3,20366480,20376367,ENSORLG00000007541,,ENSORLE00000084835,bolA family member 3 [Source:NCBI gene;Acc:101157115],-1,20366480,20372924
3,20366480,20376367,ENSORLG00000007541,,ENSORLE00000323975,bolA family member 3 [Source:NCBI gene;Acc:101157115],-1,20369136,20376367
3,20366480,20376367,ENSORLG00000007541,,ENSORLE00000256777,bolA family member 3 [Source:NCBI gene;Acc:101157115],-1,20369136,20376367
3,20366480,20376367,ENSORLG00000007541,,ENSORLE00000084837,bolA family member 3 [Source:NCBI gene;Acc:101157115],-1,20369136,20376367
3,20366480,20376367,ENSORLG00000007541,,ENSORLE00000084836,bolA family member 3 [Source:NCBI gene;Acc:101157115],-1,20369136,20376367
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000085237,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000085236,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000085233,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000298335,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000272708,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000085230,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000323302,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000085253,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000253001,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000085251,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000242942,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000317229,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000239054,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000278645,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000304880,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000085242,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000235928,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000204366,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000085238,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20370844,20391069
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000085200,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20375483,20390951
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000085244,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20375483,20390951
3,20370844,20391069,ENSORLG00000007572,,ENSORLE00000085243,polycystin 1 like 2 [Source:NCBI gene;Acc:101162200],1,20375483,20390951
