chromosome_name,start_position,end_position,ensembl_gene_id,hgnc_symbol,ensembl_exon_id,description,strand,transcript_start,transcript_end
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172381,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172379,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172375,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172373,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172368,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172366,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172378,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172371,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172370,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172372,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000258405,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000287633,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172369,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172377,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172376,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172371,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34358734,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172370,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34358734,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172369,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34358734,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172368,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34358734,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172366,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34358734,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000258405,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34358734,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000306824,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34358734,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172381,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34358734,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172379,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34358734,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172378,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34358734,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172377,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34358734,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172376,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34358734,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172375,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34358734,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172373,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34358734,34376411
3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172372,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34358734,34376411
3,34635715,34636717,ENSORLG00000026609,,ENSORLE00000271723,,1,34635715,34636717
3,35028029,35365840,ENSORLG00000026674,,ENSORLE00000248135,neural-cadherin-like [Source:NCBI gene;Acc:110014444],1,35028029,35365840
3,35028029,35365840,ENSORLG00000026674,,ENSORLE00000249623,neural-cadherin-like [Source:NCBI gene;Acc:110014444],1,35028029,35365840
3,35028029,35365840,ENSORLG00000026674,,ENSORLE00000244037,neural-cadherin-like [Source:NCBI gene;Acc:110014444],1,35028029,35365840
3,35028029,35365840,ENSORLG00000026674,,ENSORLE00000299157,neural-cadherin-like [Source:NCBI gene;Acc:110014444],1,35028029,35365840
3,35028029,35365840,ENSORLG00000026674,,ENSORLE00000316826,neural-cadherin-like [Source:NCBI gene;Acc:110014444],1,35028029,35365840
