chromosome_name,start_position,end_position,ensembl_gene_id,hgnc_symbol,ensembl_exon_id,description,strand,transcript_start,transcript_end
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000270694,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22963087,22992674
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109779,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22963087,22992674
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109778,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22963087,22992674
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109768,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22963087,22992674
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109762,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22963087,22992674
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000269835,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22963087,22992674
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000302288,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22963087,22992674
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000249511,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22968889,22992573
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109760,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22968889,22992573
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109757,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22968889,22992573
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109761,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22968889,22992573
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000138828,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22968889,22992573
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109778,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22968889,22992573
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109768,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22968889,22992573
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109762,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22968889,22992573
