CHROM,BIN,BIN_START,BIN_END,A1,A2,Freq,b,se,p,chromosome_name,start_position,end_position,ensembl_gene_id,hgnc_symbol,ensembl_exon_id,description,strand,transcript_start,transcript_end
3,6872,34360001,34365000,B,A,0.213198,1.23527,0.279816,1.01208e-5,3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172381,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,6872,34360001,34365000,B,A,0.213198,1.23527,0.279816,1.01208e-5,3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172379,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,6872,34360001,34365000,B,A,0.213198,1.23527,0.279816,1.01208e-5,3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172375,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,6872,34360001,34365000,B,A,0.213198,1.23527,0.279816,1.01208e-5,3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172373,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,6872,34360001,34365000,B,A,0.213198,1.23527,0.279816,1.01208e-5,3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172368,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,6872,34360001,34365000,B,A,0.213198,1.23527,0.279816,1.01208e-5,3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172366,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,6872,34360001,34365000,B,A,0.213198,1.23527,0.279816,1.01208e-5,3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172378,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,6872,34360001,34365000,B,A,0.213198,1.23527,0.279816,1.01208e-5,3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172371,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,6872,34360001,34365000,B,A,0.213198,1.23527,0.279816,1.01208e-5,3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172370,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,6872,34360001,34365000,B,A,0.213198,1.23527,0.279816,1.01208e-5,3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172372,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,6872,34360001,34365000,B,A,0.213198,1.23527,0.279816,1.01208e-5,3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000258405,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,6872,34360001,34365000,B,A,0.213198,1.23527,0.279816,1.01208e-5,3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000287633,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,6872,34360001,34365000,B,A,0.213198,1.23527,0.279816,1.01208e-5,3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172369,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,6872,34360001,34365000,B,A,0.213198,1.23527,0.279816,1.01208e-5,3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172377,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
3,6872,34360001,34365000,B,A,0.213198,1.23527,0.279816,1.01208e-5,3,34357230,34376411,ENSORLG00000015287,,ENSORLE00000172376,adhesion G-protein coupled receptor G5 [Source:NCBI gene;Acc:101167777],1,34357230,34376411
