chromosome_name,start_position,end_position,ensembl_gene_id,hgnc_symbol,ensembl_exon_id,description,strand,transcript_start,transcript_end
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000270694,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22963087,22992674
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109779,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22963087,22992674
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109778,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22963087,22992674
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109768,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22963087,22992674
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109762,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22963087,22992674
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000269835,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22963087,22992674
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000302288,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22963087,22992674
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000249511,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22968889,22992573
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109760,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22968889,22992573
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109757,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22968889,22992573
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109761,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22968889,22992573
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000138828,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22968889,22992573
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109778,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22968889,22992573
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109768,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22968889,22992573
3,22963087,22992674,ENSORLG00000009678,,ENSORLE00000109762,synaptotagmin-9 [Source:NCBI gene;Acc:101174010],-1,22968889,22992573
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000111798,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303120,23311568
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000269594,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303120,23311568
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000111801,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303120,23311568
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000111800,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303120,23311568
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000111799,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303120,23311568
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000111802,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303120,23311568
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000111793,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303120,23311568
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000300955,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303120,23311568
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000319158,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303120,23311568
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000111803,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303120,23311568
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000230724,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303120,23311568
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000299902,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303120,23311568
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000260471,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303120,23311568
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000111803,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303712,23310176
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000111802,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303712,23310176
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000111801,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303712,23310176
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000111800,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303712,23310176
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000111798,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303712,23310176
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000248809,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303712,23310176
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000111791,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303712,23310176
3,23303120,23311568,ENSORLG00000009859,,ENSORLE00000111805,Wilms tumor 1 [Source:NCBI gene;Acc:100125521],1,23303712,23310176
3,23363682,23416953,ENSORLG00000009918,,ENSORLE00000112373,elongator acetyltransferase complex subunit 4 [Source:NCBI gene;Acc:101163158],-1,23363682,23416953
3,23363682,23416953,ENSORLG00000009918,,ENSORLE00000112372,elongator acetyltransferase complex subunit 4 [Source:NCBI gene;Acc:101163158],-1,23363682,23416953
3,23363682,23416953,ENSORLG00000009918,,ENSORLE00000112371,elongator acetyltransferase complex subunit 4 [Source:NCBI gene;Acc:101163158],-1,23363682,23416953
3,23363682,23416953,ENSORLG00000009918,,ENSORLE00000112369,elongator acetyltransferase complex subunit 4 [Source:NCBI gene;Acc:101163158],-1,23363682,23416953
3,23363682,23416953,ENSORLG00000009918,,ENSORLE00000112368,elongator acetyltransferase complex subunit 4 [Source:NCBI gene;Acc:101163158],-1,23363682,23416953
3,23363682,23416953,ENSORLG00000009918,,ENSORLE00000274507,elongator acetyltransferase complex subunit 4 [Source:NCBI gene;Acc:101163158],-1,23363682,23416953
3,23363682,23416953,ENSORLG00000009918,,ENSORLE00000112374,elongator acetyltransferase complex subunit 4 [Source:NCBI gene;Acc:101163158],-1,23363682,23416953
3,23363682,23416953,ENSORLG00000009918,,ENSORLE00000261706,elongator acetyltransferase complex subunit 4 [Source:NCBI gene;Acc:101163158],-1,23363682,23416953
3,23363682,23416953,ENSORLG00000009918,,ENSORLE00000112377,elongator acetyltransferase complex subunit 4 [Source:NCBI gene;Acc:101163158],-1,23363682,23416953
3,23363682,23416953,ENSORLG00000009918,,ENSORLE00000112375,elongator acetyltransferase complex subunit 4 [Source:NCBI gene;Acc:101163158],-1,23363682,23416953
3,24712144,24721452,ENSORLG00000025929,,ENSORLE00000265066,,-1,24712144,24721452
3,24712144,24721452,ENSORLG00000025929,,ENSORLE00000277056,,-1,24712144,24721452
3,24712144,24721452,ENSORLG00000025929,,ENSORLE00000127138,,-1,24712144,24721452
3,24712144,24721452,ENSORLG00000025929,,ENSORLE00000127137,,-1,24712144,24721452
3,24724018,24730990,ENSORLG00000011210,,ENSORLE00000127368,GC-rich sequence DNA-binding factor 2 [Source:NCBI gene;Acc:101169100],1,24724018,24730990
3,24724018,24730990,ENSORLG00000011210,,ENSORLE00000127367,GC-rich sequence DNA-binding factor 2 [Source:NCBI gene;Acc:101169100],1,24724018,24730990
3,24724018,24730990,ENSORLG00000011210,,ENSORLE00000127366,GC-rich sequence DNA-binding factor 2 [Source:NCBI gene;Acc:101169100],1,24724018,24730990
3,24724018,24730990,ENSORLG00000011210,,ENSORLE00000127365,GC-rich sequence DNA-binding factor 2 [Source:NCBI gene;Acc:101169100],1,24724018,24730990
3,24724018,24730990,ENSORLG00000011210,,ENSORLE00000127364,GC-rich sequence DNA-binding factor 2 [Source:NCBI gene;Acc:101169100],1,24724018,24730990
3,24724018,24730990,ENSORLG00000011210,,ENSORLE00000127373,GC-rich sequence DNA-binding factor 2 [Source:NCBI gene;Acc:101169100],1,24724018,24730990
3,24724018,24730990,ENSORLG00000011210,,ENSORLE00000127372,GC-rich sequence DNA-binding factor 2 [Source:NCBI gene;Acc:101169100],1,24724018,24730990
3,24724018,24730990,ENSORLG00000011210,,ENSORLE00000127371,GC-rich sequence DNA-binding factor 2 [Source:NCBI gene;Acc:101169100],1,24724018,24730990
3,24724018,24730990,ENSORLG00000011210,,ENSORLE00000127370,GC-rich sequence DNA-binding factor 2 [Source:NCBI gene;Acc:101169100],1,24724018,24730990
3,24724018,24730990,ENSORLG00000011210,,ENSORLE00000127369,GC-rich sequence DNA-binding factor 2 [Source:NCBI gene;Acc:101169100],1,24724018,24730990
3,24724018,24730990,ENSORLG00000011210,,ENSORLE00000252970,GC-rich sequence DNA-binding factor 2 [Source:NCBI gene;Acc:101169100],1,24724018,24730990
3,24724018,24730990,ENSORLG00000011210,,ENSORLE00000295843,GC-rich sequence DNA-binding factor 2 [Source:NCBI gene;Acc:101169100],1,24724018,24730990
3,24724018,24730990,ENSORLG00000011210,,ENSORLE00000127377,GC-rich sequence DNA-binding factor 2 [Source:NCBI gene;Acc:101169100],1,24724018,24730990
3,24724018,24730990,ENSORLG00000011210,,ENSORLE00000282535,GC-rich sequence DNA-binding factor 2 [Source:NCBI gene;Acc:101169100],1,24724018,24730990
3,24724018,24730990,ENSORLG00000011210,,ENSORLE00000127376,GC-rich sequence DNA-binding factor 2 [Source:NCBI gene;Acc:101169100],1,24724018,24730990
3,24724018,24730990,ENSORLG00000011210,,ENSORLE00000127375,GC-rich sequence DNA-binding factor 2 [Source:NCBI gene;Acc:101169100],1,24724018,24730990
3,24724018,24730990,ENSORLG00000011210,,ENSORLE00000127374,GC-rich sequence DNA-binding factor 2 [Source:NCBI gene;Acc:101169100],1,24724018,24730990
3,24724018,24730990,ENSORLG00000011210,,ENSORLE00000127362,GC-rich sequence DNA-binding factor 2 [Source:NCBI gene;Acc:101169100],1,24724018,24730990
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000252780,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25826438,26017239
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000134566,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25826438,26017239
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000271452,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25826438,26017239
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000134582,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25826438,26017239
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000323532,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25826438,26017239
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000266417,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25826438,26017239
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000268576,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25826438,26017239
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000134581,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25826438,26017239
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000134584,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25826438,26017239
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000134572,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25826438,26017239
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000134583,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25826438,26017239
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000134571,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25826438,26017239
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000293028,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25826438,26017239
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000134579,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25826438,26017239
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000134569,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25826438,26017239
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000134568,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25826438,26017239
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000134576,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25826438,26017239
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000134574,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25826438,26017239
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000134572,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25881874,26007566
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000298932,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25881874,26007566
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000296304,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25881874,26007566
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000134569,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25881874,26007566
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000134576,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25881874,26007566
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000134566,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25881874,26007566
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000134568,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25881874,26007566
3,25826438,26017239,ENSORLG00000011860,,ENSORLE00000323532,MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:NCBI gene;Acc:101172567],1,25881874,26007566
