chromosome_name,start_position,end_position,ensembl_gene_id,hgnc_symbol,ensembl_exon_id,description,strand,transcript_start,transcript_end
3,31683152,31913322,ENSORLG00000014606,,ENSORLE00000314177,neurotrophic receptor tyrosine kinase 3 [Source:NCBI gene;Acc:101161874],1,31683152,31913322
3,31683152,31913322,ENSORLG00000014606,,ENSORLE00000165152,neurotrophic receptor tyrosine kinase 3 [Source:NCBI gene;Acc:101161874],1,31683152,31913322
3,31683152,31913322,ENSORLG00000014606,,ENSORLE00000165133,neurotrophic receptor tyrosine kinase 3 [Source:NCBI gene;Acc:101161874],1,31683152,31913322
3,31683152,31913322,ENSORLG00000014606,,ENSORLE00000165132,neurotrophic receptor tyrosine kinase 3 [Source:NCBI gene;Acc:101161874],1,31683152,31913322
3,31683152,31913322,ENSORLG00000014606,,ENSORLE00000165130,neurotrophic receptor tyrosine kinase 3 [Source:NCBI gene;Acc:101161874],1,31683152,31913322
3,31683152,31913322,ENSORLG00000014606,,ENSORLE00000165128,neurotrophic receptor tyrosine kinase 3 [Source:NCBI gene;Acc:101161874],1,31683152,31913322
3,31683152,31913322,ENSORLG00000014606,,ENSORLE00000165116,neurotrophic receptor tyrosine kinase 3 [Source:NCBI gene;Acc:101161874],1,31683152,31913322
3,31683152,31913322,ENSORLG00000014606,,ENSORLE00000165114,neurotrophic receptor tyrosine kinase 3 [Source:NCBI gene;Acc:101161874],1,31683152,31913322
3,31683152,31913322,ENSORLG00000014606,,ENSORLE00000279828,neurotrophic receptor tyrosine kinase 3 [Source:NCBI gene;Acc:101161874],1,31683152,31913322
3,31683152,31913322,ENSORLG00000014606,,ENSORLE00000165126,neurotrophic receptor tyrosine kinase 3 [Source:NCBI gene;Acc:101161874],1,31683152,31913322
3,31683152,31913322,ENSORLG00000014606,,ENSORLE00000165124,neurotrophic receptor tyrosine kinase 3 [Source:NCBI gene;Acc:101161874],1,31683152,31913322
