SAMPLE,unsegmented_psm_area,intercept,std_error,t-value,p-value,mean,sd,sem,median,IQR,Date_of_imaging,Microscope,3:22985001,6:15880001,12:20650001,20:14055001,SUM_CAB_READS,SUM_KAGA_READS,TOTAL_READS,PROP_CAB_READS,PROP_KAGA_READS,SUM_GT_CAB,SUM_GT_HET,SUM_GT_KAGA,TOTAL_GT,PROP_CAB_GT,PROP_HET_GT,PROP_KAGA_GT
1,26846,56.67,0.26,220.3,6.67e-47,57.9,0.97,0.18,58.09,1.73,11_11_20,AU,-1,1,NA,0,4940099,3275479,8215578,0.6013087575822419,0.39869124241775805,29167,39313,33598,102078,0.28573247908462157,0.3851270596994455,0.32914046121593293
2,29842,60.26,0.86,70.9,3.84e-33,58.14,2.65,0.49,57.79,3.32,11_11_20,AU,-1,-1,NA,0,4191961,2475934,6667895,0.6286783160202732,0.37132168397972676,36820,46162,13893,96875,0.3800774193548387,0.47651096774193547,0.1434116129032258
3,27968,58.6,0.18,320.32,1.89e-51,60.91,1.4,0.26,60.2,2.04,19_11_20,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,23456,55.14,0.37,148.2,4.38e-42,57.79,1.79,0.33,58.39,1.96,19_11_20,AU,-1,1,-1,0,8554249,4652708,13206957,0.6477077952173237,0.35229220478267625,37279,43694,24621,105594,0.35304089247495124,0.41379245032861717,0.23316665719643162
5,27914,56.67,0.13,444.06,2.02e-55,60.52,2.24,0.42,60.2,4.07,19_11_20,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,22744,60.7,0.23,269.97,2.27e-49,62.91,1.39,0.26,63.52,1.66,19_11_20,AU,0,0,-1,NA,3127438,2245751,5373189,0.5820450388028413,0.4179549611971587,32427,39618,24278,96323,0.33664856783945685,0.4113036346459309,0.2520477975146123
7,24776,60.52,0.23,256.6,9.4e-49,62.39,1.23,0.23,62.46,1.51,19_11_20,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,24638,55.08,0.06,902.99,4.73e-64,57.89,1.6,0.3,57.94,2.94,19_11_20,AU,-1,NA,NA,1,2508843,1631645,4140488,0.6059293010872149,0.3940706989127852,24602,49845,16093,90540,0.2717252043295781,0.5505301524188204,0.1777446432516015
9,26466,56.7,0.14,399.97,3.78e-54,58.39,0.99,0.18,58.09,1.05,19_11_20,AU,-1,0,0,1,3368717,1391688,4760405,0.7076534454526453,0.2923465545473547,38083,38608,14383,91074,0.4181544677954191,0.42391901091420164,0.15792652129037926
10,24140,58.3,0.18,312.97,3.86e-51,62.27,2.3,0.43,61.86,4.37,19_11_20,AU,-1,0,-1,1,8629784,3618897,12248681,0.7045480243954431,0.29545197560455694,43092,43892,19025,106009,0.40649378826326066,0.41404031733154734,0.179465894405192
11,27456,62.74,0.28,224.74,3.8e-47,62.71,0.73,0.14,62.91,1.13,19_11_20,AU,-1,NA,NA,NA,2181390,1178323,3359713,0.6492786735057429,0.3507213264942571,31224,44365,13185,88774,0.3517246040507356,0.4997521796922522,0.14852321625701218
12,23533,65.58,0.16,394.85,5.41e-54,65.68,0.44,0.08,65.63,0.6,25_11_20,DB,-1,NA,0,1,2861419,2602546,5463965,0.5236891158709838,0.4763108841290162,24149,50047,19410,93606,0.2579855992137256,0.5346558981261885,0.2073585026600859
13,23908,61.65,0.3,174.96,4.23e-44,65.05,2.14,0.4,63.82,2.56,25_11_20,DB,-1,1,-1,0,3253262,1432398,4685660,0.6943017632521352,0.3056982367478648,37740,38288,14409,90437,0.41730707564381836,0.42336654245496863,0.159326381901213
14,28753,56.85,0.4,139.1,2.51e-41,58.61,3.21,0.54,57.79,1.58,25_11_20,DB,-1,NA,0,1,622291,274989,897280,0.693530447574893,0.306469552425107,27088,29660,9678,66426,0.407792129587812,0.4465119079878361,0.1456959624243519
15,25419,61.99,0.11,546.99,5.89e-58,64.95,1.71,0.36,64.72,2.56,25_11_20,DB,1,0,NA,1,2161749,1076684,3238433,0.6675293266836152,0.3324706733163848,29343,35639,18187,83169,0.352811744760668,0.4285130276906059,0.2186752275487261
16,22401,60.5,0.158,381,1.47e-53,62.26,1.06,0.2,61.86,1.73,25_11_20,DB,NA,NA,0,0,2507204,1470228,3977432,0.6303574768845828,0.3696425231154172,34509,40550,11057,86116,0.4007269264712713,0.4708764921733476,0.12839658135538112
17,25777,60.45,0.32,183.49,1.11e-44,61.01,0.92,0.17,60.65,1.51,25_11_20,DB,-1,-1,0,1,1908494,1382922,3291416,0.579839801471464,0.42016019852853603,21152,43488,14591,79231,0.2669662127197688,0.548876071234744,0.18415771604548725
18,26275,63.79,0.07,800.64,1.37e-62,66.62,1.62,0.3,66.83,2.56,25_11_20,DB,-1,0,0,1,2806351,1147220,3953571,0.7098268881474494,0.2901731118525505,29497,43607,13115,86219,0.3421171667497883,0.505770189865343,0.15211264338486877
19,25319,58.3,0.18,309.29,5.04e-51,60.09,1.11,0.21,59.6,1.5,25_11_20,DB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,25415,60.11,0.24,249,1.97e-48,62.1,1.29,0.24,61.41,2.03,25_11_20,DB,-1,NA,NA,1,2088857,1014115,3102972,0.6731794550514797,0.3268205449485203,32867,42429,8972,84268,0.3900294299140836,0.5035007357478521,0.10646983433806427
21,24936,59.7,0.2,294.46,1.99e-50,60.46,0.66,0.12,60.5,1.21,27_11_20,DB,-1,-1,NA,0,2127587,2082249,4209836,0.5053847703330961,0.4946152296669039,23388,43659,16184,83231,0.2810010693131165,0.5245521500402495,0.19444678064663407
22,20481,63.01,0.59,105.59,4.11e-30,64.59,1.62,0.35,64.12,1.66,27_11_20,DB,0,NA,NA,1,2253604,1227642,3481246,0.6473555732631362,0.35264442673686375,24011,44382,15188,83581,0.28727820916236946,0.5310058506119812,0.18171594022564938
23,21788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,NA,1,1916597,894278,2810875,0.6818506692755815,0.31814933072441853,39709,26209,11290,77208,0.5143119883949849,0.33945964148792873,0.1462283701170863
24,24287,62.01,0.11,533.1,1.2e-57,65.22,1.84,0.34,64.88,3.16,27_11_20,DB,-1,NA,-1,1,1588531,1021441,2609972,0.6086390965113802,0.3913609034886198,23339,38891,18123,80353,0.29045586350229613,0.48400184187273654,0.22554229462496733
25,27251,59.9,0.592,101.1,1.89e-37,65.06,3.32,0.62,63.06,4.68,27_11_20,DB,-1,1,-1,1,2258325,2181906,4440231,0.5086052955352999,0.4913947044647001,24307,39576,26143,90026,0.2699997778419568,0.43960633594739296,0.29039388621065026
26,24241,58.58,0.29,198.12,1.27e-45,62.04,2.12,0.39,60.95,3.55,27_11_20,DB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,22876,60.67,0.07,843.2,3.21e-63,65.32,2.64,0.49,65.18,4.6,27_11_20,DB,-1,1,NA,0,2864496,1659545,4524041,0.6331719805368696,0.36682801946313043,25042,44147,23876,93065,0.26908075001343146,0.4743673776392844,0.25655187234728416
28,23902,59.78,0.091,659.92,3.07e-60,62.39,1.5,0.28,62.16,2.64,27_11_20,DB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,21155,61.89,0.18,343.16,2.75e-52,63.75,1.16,0.21,63.67,2.34,27_11_20,DB,0,-1,-1,1,2680825,1836881,4517706,0.593404041785809,0.40659595821419103,21354,46080,22497,89931,0.2374487106781866,0.5123928345064549,0.2501584548153584
30,21114,63.82,0.125,509.14,4.39e-57,68.17,2.49,0.46,67.89,3.77,27_11_20,DB,-1,NA,-1,0,2045784,1165415,3211199,0.6370779263446458,0.3629220736553543,30883,34032,13941,78856,0.39163792228872885,0.4315714720503196,0.17679060566095162
31,24515,47.12,0.422,111.67,1.2e-38,54.49,4.33,0.8,53.57,8.9,28_11_20,AU,-1,0,NA,1,1170136,594471,1764607,0.6631142231669714,0.33688577683302856,27780,27632,11783,67195,0.4134236178287075,0.41122107299650273,0.17535530917478978
32,24845,53.33,0.194,274.35,1.45e-49,58.59,3.03,0.56,58.39,6.18,28_11_20,AU,-1,-1,0,0,4081942,2260793,6342735,0.643561807327596,0.35643819267240395,30155,45660,13854,89669,0.33629236413922314,0.5092060801391786,0.15450155572159832
33,23820,59.34,0.44,133.17,8.75e-41,60.41,1.32,0.24,60.2,2.03,28_11_20,AU,0,NA,-1,NA,2494347,1273435,3767782,0.6620199894792215,0.33798001052077853,28714,40770,15946,85430,0.3361114362636076,0.4772328221936088,0.18665574154278355
34,21053,57.34,0.19,298.71,1.33e-50,60.15,1.67,0.31,60.2,3.17,28_11_20,AU,-1,NA,0,1,2301241,2050538,4351779,0.5288046566702951,0.4711953433297049,17362,43698,25012,86072,0.20171484338693188,0.5076912352449112,0.29059392136815687
35,23518,57.65,0.102,562.9,2.64e-58,60.82,1.82,0.34,60.65,2.64,28_11_20,AU,-1,1,NA,1,1898498,800381,2698879,0.7034394650519715,0.2965605349480284,26140,36530,14848,77518,0.33721200237364224,0.4712453881679094,0.19154260945844837
36,20211,61.7,0.294,209.46,2.69e-46,61.01,0.87,0.16,60.8,0.61,28_11_20,AU,NA,-1,-1,NA,1386352,891794,2278146,0.6085439651365628,0.3914560348634372,28945,33294,11987,74226,0.38995769676393716,0.4485490259477811,0.16149327728828172
37,24310,60.6,0.145,416.65,1.202e-54,66,3.08,0.57,65.93,5.88,28_11_20,AU,0,1,-1,1,2539848,1242853,3782701,0.6714376843424844,0.32856231565751565,32285,33974,22624,88883,0.363230314008303,0.38223282292451877,0.2545368630671782
38,19403,57.088,0.075,756.53,6.71e-62,62.72,3.21,0.6,62.46,5.5,28_11_20,AU,-1,0,NA,1,3787107,1808490,5595597,0.6768012421194736,0.32319875788052643,28501,49031,15871,93403,0.3051400918600045,0.5249403124096657,0.16991959573032986
39,25115,58.2,0.196,295.92,7.18e-46,68.61,5.92,1.16,68.94,10.7,28_11_20,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,20994,53.07,0.097,547.12,5.85e-58,57.46,2.5,0.46,57.64,4.67,28_11_20,AU,-1,-1,NA,NA,2535034,1613269,4148303,0.6111014552215689,0.3888985447784311,26067,41562,18662,86291,0.3020824883243907,0.4816493029400517,0.21626820873555758
41,26093,53.16,0.51,102.86,1.18e-37,53.8,1.4,0.26,53.87,2.65,29_11_20,AU,-1,0,NA,1,3137439,1420633,4558072,0.6883258974408478,0.3116741025591522,31442,43637,12685,87764,0.35825623262385486,0.49720842258784925,0.14453534478829588
42,25009,50.92,0.29,174.6,4.48e-44,55.8,2.87,0.53,56.58,5.95,29_11_20,AU,-1,-1,-1,1,3089453,2243406,5332859,0.5793239611247926,0.42067603887520744,27871,41735,23614,93220,0.2989809053851105,0.44770435528856467,0.2533147393263248
43,26813,52.98,0.57,92.2,3.45e-33,55.53,2.03,0.4,55.98,2.87,29_11_20,AU,-1,NA,NA,1,2434093,1156131,3590224,0.6779780314543048,0.3220219685456952,30938,36201,15875,83014,0.3726841255691811,0.43608307032548727,0.19123280410533164
44,25425,54.1,0.086,625.85,1.42e-59,55.58,0.87,0.16,55.83,1.73,29_11_20,AU,-1,-1,NA,1,1719677,1303723,3023400,0.5687891115962161,0.4312108884037838,26346,43510,11284,81140,0.3246980527483362,0.536233670199655,0.1390682770520089
45,27774,59.42,1.91,31.01,3.13e-23,68.79,7.32,1.36,72.71,14.09,29_11_20,AU,-1,1,NA,1,3840355,1958619,5798974,0.6622473216813871,0.3377526783186129,39660,38651,18950,97261,0.4077687870780683,0.39739463916677803,0.19483657375515365
46,24408,54.46,0.134,403.54,2.94e-54,56.25,1.07,0.2,55.98,1.73,29_11_20,AU,-1,0,NA,0,2241840,1414927,3656767,0.6130661319137916,0.3869338680862084,28164,41062,13660,82886,0.33979200347465194,0.4954033250488623,0.16480467147648578
47,27211,53.48,0.143,373.8,2.5e-53,54.46,0.67,0.12,54.17,1.13,29_11_20,AU,-1,-1,NA,1,2362568,1019036,3381604,0.6986530652317657,0.30134693476823426,33861,34218,11989,80068,0.42290303242244093,0.42736174251885894,0.1497352250587001
48,27395,54.84,0.07,783.13,2.55e-62,56.59,1.01,0.19,56.28,1.74,29_11_20,AU,-1,NA,NA,1,3621504,2432749,6054253,0.5981752001444274,0.4018247998555726,31634,38930,26797,97361,0.3249144934830168,0.39985209683548856,0.2752334096814946
49,28132,56.79,0.142,399.33,3.94e-54,57.64,0.61,0.11,57.79,0.83,29_11_20,AU,-1,0,NA,0,1913819,1513998,3427817,0.5583200620103115,0.44167993798968846,28078,36171,11289,75538,0.37170695543964627,0.47884508459318487,0.14944795996716884
50,26204,53.09,0.104,507.45,481e55,55.18,1.22,0.23,54.92,2.41,29_11_20,AU,-1,0,NA,1,3401379,2004896,5406275,0.629153899866359,0.370846100133641,27677,45175,13315,86167,0.3212018522172061,0.5242726333747258,0.15452551440806805
51,28370,55.36,0.11,472.08,3.64e-56,55.78,0.39,0.07,55.68,0.23,1_12_20,AU,NA,1,NA,1,1742427,1399937,3142364,0.5544955963090209,0.44550440369097916,27443,42998,17528,87969,0.31196216849117303,0.4887858222783026,0.19925200923052439
52,25836,58.59,0.1,553.48,4.24e-58,60.33,1.03,0.19,60.2,1.73,1_12_20,AU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,24347,56.09,0.14,398.43,4.2e-54,56.39,0.41,0.08,56.28,0.83,1_12_20,AU,0,1,-1,0,2906472,2295420,5201892,0.5587336299946251,0.44126637000537494,26743,47768,19119,93630,0.28562426572679694,0.5101783616362277,0.20419737263697532
54,24132,54.56,0.166,330.53,7.85e-52,56.4,1.13,0.21,55.83,1.66,1_12_20,AU,-1,0,NA,1,1919082,1298064,3217146,0.596516912816515,0.40348308718348497,18922,43470,16137,78529,0.24095557055355346,0.5535534643252811,0.20549096512116544
55,25723,54.88,0.248,221.1,6.11e-47,55.68,0.79,0.15,55.68,0.9,1_12_20,AU,-1,NA,0,0,2508579,1997847,4506426,0.5566670794106017,0.4433329205893983,18471,47855,15352,81678,0.22614412693748623,0.5858982835035138,0.18795758955899997
56,25576,53.94,0.084,640.99,6.95e-60,55.39,0.85,0.16,55.23,1.06,2_12_20,DB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,19634,66.88,0.194,344.272,2.52e-52,69.51,1.58,0.29,68.94,1.96,2_12_20,DB,-1,0,NA,1,3789559,1857545,5647104,0.6710623710843646,0.3289376289156353,31288,50593,15470,97351,0.3213937196330803,0.5196967673675669,0.15890951299935285
58,21337,67.5,0.19,355.33,1.03e-52,66.67,0.69,0.13,66.53,0.83,2_12_20,DB,-1,NA,NA,1,1644604,929473,2574077,0.6389101802315937,0.3610898197684063,27681,30851,15028,73560,0.37630505709624795,0.41939912996193585,0.2042958129418162
59,26114,69.85,0.09,755.71,3.33e-62,68.5,0.8,0.15,68.79,1.81,2_12_20,DB,-1,0,-1,1,2188947,1374342,3563289,0.6143052107196469,0.38569478928035306,22924,35577,22351,80852,0.2835304012269332,0.4400262207490229,0.27644337802404395
60,26134,69.73,0.17,408.57,2.45e-49,70.42,0.58,0.11,70.45,1.06,2_12_20,DB,-1,-1,NA,1,2376248,1117279,3493527,0.6801859553396896,0.3198140446603103,27800,42551,8850,79201,0.35100566912033937,0.5372533175086173,0.1117410133710433
61,20793,65.33,0.197,330.972,7.56e-52,69.53,2.44,0.45,69.85,3.24,2_12_20,DB,0,1,NA,1,2523064,2545248,5068312,0.49781150016021114,0.5021884998397889,24317,44246,28057,96620,0.25167667149658457,0.4579383150486442,0.29038501345477125
62,25289,55.51,0.22,246.05,3.04e-48,56.47,0.8,0.15,56.28,0.52,3_12_20,AU,NA,NA,NA,0,1379545,594733,1974278,0.6987592426193272,0.30124075738067285,27370,30107,7986,65463,0.41809877335288637,0.459908650688175,0.12199257595893864
63,28316,55.68,0.143,387.93,8.87e-52,57.73,1.22,0.23,58.09,1.42,3_12_20,AU,-1,0,NA,0,5195417,3063467,8258884,0.6290701019653503,0.3709298980346497,34614,42232,17836,94682,0.3655816311442513,0.44604043007118566,0.18837793878456308
64,23991,58.22,0.094,619.22,1.83e-59,61.26,1.74,0.32,61.26,3.31,3_12_20,AU,-1,-1,0,NA,2021807,1059924,3081731,0.6560621287192165,0.3439378712807834,34045,32489,15767,82301,0.41366447552277613,0.394758265391672,0.19157725908555182
65,23878,64.41,0.0735,875.78,1.11e-63,66.31,1.09,0.2,66.08,1.81,3_12_20,AU,-1,NA,-1,NA,3095570,1285956,4381526,0.7065049939222089,0.29349500607779117,40520,36438,14559,91517,0.44275926876973676,0.39815553394451303,0.15908519728575019
66,25453,66.84,0.272,244.88,3.47e-48,68.86,1.35,0.25,69.55,2.03,3_12_20,AU,-1,NA,-1,1,2437590,1773892,4211482,0.5787962527205388,0.42120374727946125,24153,41559,20711,86423,0.2794742140402439,0.48087893269152887,0.2396468532682272
67,23797,62.27,0.106,586.97,8.18e-59,64.33,1.2,0.22,64.12,2.11,3_12_20,AU,-1,0,-1,0,2640443,1638170,4278613,0.6171259237514587,0.3828740762485413,29160,45922,12055,87137,0.3346454433822601,0.52700919242113,0.13834536419660995
68,23322,65.68,0.18,363.26,5.58e-53,66.99,0.88,0.16,67.44,1.43,3_12_20,AU,0,0,NA,1,3810300,1908655,5718955,0.6662580838632233,0.33374191613677673,41395,37692,16550,95637,0.4328345723935297,0.39411524828256844,0.17305017932390185
69,21899,58.58,0.134,435.45,3.49e-55,60.94,1.38,0.26,60.95,2.94,3_12_20,AU,-1,-1,NA,1,2251236,1720045,3971281,0.5668790498582196,0.4331209501417804,29592,32309,22288,84189,0.351494850871254,0.38376747556094026,0.26473767356780575
70,24933,62.41,0.126,493.4,1.057e-56,63.9,0.91,0.17,63.52,1.42,3_12_20,AU,0,0,NA,NA,1786052,1127479,2913531,0.6130197344733933,0.3869802655266067,25548,38289,14431,78268,0.3264169264578116,0.4892037614350693,0.18437931210711914
71,21264,59.82,0.21,283.73,5.63e-50,62.43,1.58,0.29,63.06,2.64,3_12_20,AU,0,-1,NA,NA,1249744,626740,1876484,0.6660030141477359,0.3339969858522641,19594,32656,10606,62856,0.3117283950617284,0.5195367188494336,0.16873488608883797
72,20247,61.57,0.035,1722.26,6.6e-72,62.86,0.74,0.14,62.91,1.13,8_12_20,AU,NA,0,0,0,2135294,908725,3044019,0.7014719684732585,0.29852803152674146,28203,42590,8894,79687,0.35392222068844353,0.5344660986108148,0.11161168070074165
73,26441,60.45,0.101,595.89,5.36e-59,63,1.47,0.27,62.76,2.63,8_12_20,AU,-1,0,0,1,1832872,1987597,3820469,0.47975052277613034,0.5202494772238696,17183,40415,24387,81985,0.2095871195950479,0.4929560285418064,0.2974568518631457
74,22173,55.63,0.29,186.15,7.47e-45,58.81,1.97,0.37,57.94,2.33,8_12_20,AU,NA,NA,NA,0,1783980,1307937,3091917,0.5769818530057567,0.4230181469942434,23503,35131,13906,72540,0.32400055141990625,0.4842983181692859,0.19170113041080783
75,23330,54.21,0.708,76.56,4.5e-34,60.7,4.13,0.77,58.24,4.9,8_12_20,AU,-1,0,NA,1,3537475,1621885,5159360,0.6856422114370775,0.3143577885629225,29327,40465,18330,88122,0.3327999818433535,0.4591929370645242,0.2080070810921223
76,26432,56.35,0.11,489.39,1.32e-56,59.12,1.59,0.29,59.14,2.56,8_12_20,AU,-1,NA,NA,NA,1612360,871463,2483823,0.6491444841278948,0.35085551587210523,27472,24397,21310,73179,0.37540824553492125,0.33338799382336465,0.29120376064171416
77,27135,58.63,0.418,139.96,2.17e-41,56.42,1.67,0.31,56.88,1.36,8_12_20,AU,-1,0,-1,0,4449801,2534419,6984220,0.6371221124191392,0.36287788758086087,35567,36899,22545,95011,0.374346128343034,0.38836555767226955,0.23728831398469652
78,26738,57.15,0.26,219.75,2.93e-38,63.44,3.61,0.75,62.91,5.66,8_12_20,AU,0,1,-1,1,4426374,2204886,6631260,0.6675011988671836,0.3324988011328164,32896,39968,21779,94643,0.3475798527096563,0.4223027587882886,0.2301173885020551
79,26331,55.9,0.283,197.61,1.4e-45,59.45,2.12,0.39,58.54,3.54,11_12_20,AU,-1,0,-1,1,4555179,2215015,6770194,0.6728284300272637,0.3271715699727364,37402,39330,19729,96461,0.3877421963280497,0.40772954872953837,0.20452825494241195
80,24921,57.32,0.25,221.76,5.57e-47,57.21,0.68,0.13,57.19,0.53,11_12_20,AU,-1,NA,NA,1,3180032,2243404,5423436,0.5863500555736253,0.4136499444263747,33130,38948,20168,92246,0.3591483641567114,0.4222188495978145,0.21863278624547405
81,27994,56.9,0.43,131.16,1.33e-40,58.49,1.44,0.27,58.24,3.01,11_12_20,AU,-1,0,NA,1,3750737,1454696,5205433,0.7205427483169988,0.27945725168300123,32421,48184,15610,96215,0.33696409083822687,0.5007950943200125,0.16224081484176064
82,24789,57.96,0.06,842.74,3.27e-63,57.9,0.18,0.03,57.79,0.3,11_12_20,AU,-1,0,NA,1,2077298,898302,2975600,0.6981106331496169,0.3018893668503831,32835,37185,16085,86105,0.3813367400267116,0.4318564543290169,0.18680680564427152
83,24504,61.08,0.55,110.42,1.64e-38,65.67,2.98,0.55,66.83,2.87,11_12_20,AU,-1,NA,NA,1,2805952,1508043,4313995,0.6504300538132288,0.3495699461867712,28756,40627,21749,91132,0.3155422903041742,0.4458038888645042,0.2386538208313216
84,22838,58.79,0.22,266.02,3.42e-49,63.23,2.58,0.48,62.46,4.38,11_12_20,AU,NA,NA,1,1,1747211,1536765,3283976,0.532041342567668,0.467958657432332,22127,39334,24125,85586,0.2585352744607763,0.4595845114855233,0.2818802140537004
85,31162,63.46,0.191,331.98,6.94e-52,63.71,0.52,0.1,63.67,0.9,11_12_20,AU,-1,0,-1,1,2722976,1607495,4330471,0.62879441982177,0.37120558017823,27318,50784,12235,90337,0.30240100955311777,0.5621616834741026,0.1354373069727797
86,24919,58.17,0.092,630.59,1.099e-59,62.27,2.34,0.43,62.46,3.77,11_12_20,AU,-1,-1,0,NA,3406172,1938101,5344273,0.637349925799075,0.362650074200925,31947,43598,18548,94093,0.3395257883158152,0.4633500898047676,0.19712412187941716
